,diagnosis_type,diagnosis_code
206, Gas gangrene,40.0
207, Rhinoscleroma,40.1
208, Whipple's disease,40.2
209, Necrobacillosis,40.3
210, Other bacterial diseases,40.8
211,Bacterial infection of unspecified site,41
212, Streptococcus,41.0
213, Staphylococcus,41.1
214, Pneumococcus,41.2
215, Friedlander's bacillus,41.3
216, Escherichia coli,41.4
217, Hemophilus influenzae -H. influenzae,41.5
218, Proteus -mirabilis -morganii,41.6
219, Pseudomonas,41.7
220, Other,41.8
221," Bacterial infection, unspecified",41.9
222,Acute poliomyelitis,45
223, Acute paralytic poliomyelitis specified as bulbar,45.0
224, Acute poliomyelitis with other paralysis,45.1
225, Acute nonparalytic poliomyelitis,45.2
226," Acute poliomyelitis, unspecified",45.9
227,Slow virus infection of central nervous system,46
228, Kuru,46.0
229, Jakob-Creutzfeldt disease,46.1
230, Subacute sclerosing panencephalitis,46.2
231, Progressive multifocal leucoencephalopathy,46.3
232, Other,46.8
233, Unspecified,46.9
234,Meningitis due to enterovirus,47
235, Coxsackie virus,47.0
236, ECHO virus,47.1
237, Other,47.8
238, Unspecified,47.9
239,Other enterovirus diseases of central nervous system,48
240,Other non-arthropod-borne viral diseases of central nervous system,49
241, Lymphocytic choriomeningitis,49.0
242, Meningitis due to adenovirus,49.1
243, Other,49.8
244, Unspecified,49.9
245,Smallpox,50
246, Variola major,50.0
247, Alastrim,50.1
248, Modified smallpox,50.2
249," Smallpox, unspecified",50.9
250,Cowpox and paravaccinia,51
251, Cowpox,51.0
252, Pseudocowpox,51.1
253, Contagious pustular dermatitis,51.2
254," Paravaccinia, unspecified",51.9
255,Chickenpox,52
256,Herpes zoster,53
257, With meningitis,53.0
258, With other nervous system complications,53.1
259, With ophthalmic complications,53.2
260, With other complications,53.7
261, With unspecified complication,53.8
262, Herpes zoster without mention of complication,53.9
263,Herpes simplex,54
264, Eczema herpeticum,54.0
265, Genital herpes,54.1
266, Herpetic gingivostomatitis,54.2
267, Herpetic meningoencephalitis,54.3
268, With ophthalmic complications,54.4
269, Herpetic septicemia,54.5
270, Herpetic whitlow,54.6
271, With other complications,54.7
272, With unspecified complication,54.8
273, Herpes simplex without mention of complication,54.9
274,Measles,55
275, Postmeasles encephalitis,55.0
276, Postmeasles pneumonia,55.1
277, Postmeasles otitis,55.2
278, With other complications,55.7
279, With unspecified complication,55.8
280, Measles without mention of complication,55.9
281,Rubella,56
282, With neurological complications,56.0
283, With other complications,56.7
284, With unspecified complication,56.8
285, Rubella without mention of complication,56.9
286,Other viral exanthemata,57
287, Erythema infectiosum -fifth disease,57.0
288, Other,57.8
289, Unspecified,57.9
290,Yellow fever,60
291, Sylvatic,60.0
292, Urban,60.1
293, Unspecified,60.9
294,Dengue,61
295,Mosquito-borne viral encephalitis,62
296, Japanese encephalitis,62.0
297, Western equine encephalitis,62.1
298, Eastern equine encephalitis,62.2
299, St. Louis encephalitis,62.3
300, Australian encephalitis,62.4
301, California virus encephalitis,62.5
302, Other,62.8
303, Unspecified,62.9
304,Tick-borne viral encephalitis,63
305, Russian spring-summer -taiga encephalitis,63.0
306, Louping ill,63.1
307, Central European encephalitis,63.2
308, Other,63.8
309, Unspecified,63.9
310,Viral encephalitis transmitted by other and unspecified arthropods,64
311,Arthropod-borne hemorrhagic fever,65
312, Crimean hemorrhagic fever -CHF Congo virus,65.0
313, Omsk hemorrhagic fever,65.1
314, Kyasanur Forest disease,65.2
315, Other tick-borne hemorrhagic fever,65.3
316, Mosquito-borne hemorrhagic fever,65.4
317, Other,65.8
318, Unspecified,65.9
319,Other arthropod-borne viral diseases,66
320, Phlebotomus fever,66.0
321, Tick-borne fever,66.1
322, Venezuelan equine fever,66.2
323, Other mosquito-borne fever,66.3
324, Other,66.8
325, Unspecified,66.9
326,Viral hepatitis,70
327, Viral hepatitis A with hepatic coma,70.0
328, Viral hepatitis A without mention of hepatic coma,70.1
329, Viral hepatitis B with hepatic coma,70.2
330, Viral hepatitis B without mention of hepatic coma,70.3
331, Other specified viral hepatitis with hepatic coma,70.4
332, Other specified viral hepatitis without mention of hepatic coma,70.5
333, Unspecified viral hepatitis with hepatic coma,70.6
334, Unspecified viral hepatitis without mention of hepatic coma,70.9
335,Rabies,71
336,Mumps,72
337, Mumps orchitis,72.0
338, Mumps meningitis,72.1
339, Mumps encephalitis,72.2
340, Mumps pancreatitis,72.3
341, Mumps with other complications,72.7
342, Mumps with unspecified complication,72.8
343, Mumps without mention of complication,72.9
344,Ornithosis,73
345,Specific diseases due to Coxsackie virus,74
346, Herpangina,74.0
347, Epidemic pleurodynia,74.1
348, Coxsackie carditis,74.2
349," Hand, foot, and mouth disease",74.3
350, Other,74.8
351,Infectious mononucleosis,75
352,Trachoma,76
353, Initial stage,76.0
354, Active stage,76.1
355, Unspecified,76.9
356,Other diseases of conjunctiva due to viruses and Chlamydiae,77
357, Inclusion conjunctivitis,77.0
358, Epidemic keratoconjunctivitis,77.1
359, Pharyngoconjunctival fever,77.2
360, Other adenoviral conjunctivitis,77.3
361, Epidemic hemorrhagic conjunctivitis,77.4
362, Other viral conjunctivitis,77.8
363, Unspecified,77.9
364,Other diseases due to viruses and Chlamydiae,78
365, Molluscum contagiosum,78.0
366, Viral warts,78.1
367, Sweating fever,78.2
368, Cat-scratch disease,78.3
369, Foot and mouth disease,78.4
370, Cytomegalic inclusion disease,78.5
371, Hemorrhagic nephrosonephritis,78.6
372, Arenaviral hemorrhagic fever,78.7
373, Other,78.8
374,Viral infection of unspecified site,79
375, Adenovirus,79.0
376, ECHO virus,79.1
377, Coxsackie virus,79.2
378, Rhinovirus,79.3
379, Other,79.8
380, Unspecified,79.9
381,Louse-borne,Epidemic typhus
382,Other typhus,81
383, Murine,Endemic typhus
384, Brill's disease,81.1
385, Scrub typhus,81.2
386, Unspecified,81.9
387,Tick-borne rickettsioses,82
388, Spotted fevers,82.0
389, Boutonneuse fever,82.1
390, North Asian tick fever,82.2
391, Queensland tick typhus,82.3
392, Other,82.8
393, Unspecified,82.9
394,Other rickettsioses,83
395, Q-fever,83.0
396, Trench fever,83.1
397, Rickettsialpox,83.2
398, Other,83.8
399, Unspecified,83.9
400,Malaria,84
401, Falciparum malaria -malignant tertian,84.0
402, Vivax malaria -benign tertian,84.1
403, Quartan malaria,84.2
404, Ovale malaria,84.3
405, Other malaria,84.4
406, Mixed,84.5
407, Unspecified,84.6
408, Induced malaria,84.7
409, Blackwater fever,84.8
410, Other pernicious complications of malaria,84.9
411,Leishmaniasis,85
412, Visceral -kala-azar,85.0
413," Cutaneous, urban",85.1
414," Cutaneous, Asian desert",85.2
415," Cutaneous, Ethiopian",85.3
416," Cutaneous, American",85.4
417," Mucocutaneous, American",85.5
418, Unspecified,85.9
419,Trypanosomiasis,86
420, Chagas' disease with heart involvement,86.0
421, Chagas' disease with other organ involvement,86.1
422, Chagas' disease without mention of organ involvement,86.2
423, Gambian trypanosomiasis,86.3
424, Rhodesian trypanosomiasis,86.4
425," African trypanosomiasis, unspecified",86.5
426, Unspecified,86.9
427,Relapsing fever,87
428, Louse-borne,87.0
429, Tick-borne,87.1
430, Unspecified,87.9
431,Other arthropod-borne diseases,88
432, Bartonellosis,88.0
433, Other,88.8
434, Unspecified,88.9
435,Congenital syphilis,90
436,"Early congenital syphilis, symptomatic",90.0
437," Early congenital syphilis, unspecified",90.2
438, Syphilitic interstitial keratitis,90.3
439, Juvenile neurosyphilis,90.4
440," Other late congenital syphilis, symptomatic",90.5
441," Late congenital syphilis, unspecified",90.7
442," Congenital syphilis, unspecified",90.9
443,"Early syphilis, symptomatic",91
444," Genital syphilis, primary",91.0
445, Primary anal syphilis,91.1
446, Other primary syphilis,91.2
447, Secondary syphilis of skin or mucous membranes,91.3
448, Adenopathy due to secondary syphilis,91.4
449, Uveitis due to secondary syphilis,91.5
450, Secondary syphilis of viscera and bone,91.6
451," Secondary syphilis, relapse",91.7
452, Other forms of secondary syphilis,91.8
453, Unspecified secondary syphilis,91.9
454,Cardiovascular syphilis,93
455," Aneurysm of aorta, specified as syphilitic",93.0
456, Syphilitic aortitis,93.1
457, Syphilitic endocarditis,93.2
458, Other,93.8
459, Unspecified,93.9
460,Neurosyphilis,94
461, Tabes dorsalis,94.0
462, General paresis,94.1
463, Syphilitic meningitis,94.2
464, Other,94.8
465, Unspecified,94.9
466,Other forms of late syphilis with symptoms,95
467,Other and unspecified syphilis,97
468," Late syphilis, unspecified",97.0
469," Syphilis, unspecified",97.9
470,Gonococcal infections,98
471," Acute, of lower genitourinary tract",98.0
472," Acute, of upper genitourinary tract",98.1
473," Chronic, of lower genitourinary tract",98.2
474," Chronic, of upper genitourinary tract",98.3
475, Of eye,98.4
476, Of joint,98.5
477, Of pharynx,98.6
478, Of anus and rectum,98.7
479, Of other sites,98.8
480,Other venereal diseases,99
481, Chancroid,99.0
482, Lymphogranuloma venereum,99.1
483, Granuloma inguinale,99.2
484, Reiter's disease,99.3
485, Other nongonococcal urethritis,99.4
486, Other,99.8
487, Unspecified,99.9
488,Leptospirosis,00
489, Leptospirosis icterohemorrhagica,00.0
490, Other,00.8
491, Unspecified,00.9
492,Vincent's angina,01
493,Yaws,02
494, Initial lesions,02.0
495, Multiple papillomata and wet crab yaws,02.1
496, Other early skin lesions,02.2
497, Hyperkeratosis,02.3
498, Gummata and ulcers,02.4
499, Gangosa,02.5
500, Bone and joint lesions,02.6
501, Other manifestations,02.7
502," Yaws, unspecified",02.9
503,Pinta,03
504, Primary lesions,03.0
505, Intermediate lesions,03.1
506, Late lesions,03.2
507, Mixed lesions,03.3
508, Unspecified,03.9
509,Other spirochetal infection,04
510, Nonvenereal endemic syphilis,04.0
511, Other,04.8
512, Unspecified,04.9
513,Dermatophytosis,10
514, Of scalp and beard,10.0
515, Of nail,10.1
516, Of hand,10.2
517, Of groin and perianal area,10.3
518, Of foot,10.4
519, Of the body,10.5
520, Deep-seated dermatophytosis,10.6
521, Of other sites,10.8
522, Of unspecified site,10.9
523,"Dermatomycosis, other and unspecified",11
524, Pityriasis versicolor,11.0
525, Tinea nigra,11.1
526, Tinea blanca,11.2
527, Black piedra,11.3
528, Other,11.8
529, Unspecified,11.9
530,Candidiasis,12
531, Of mouth,12.0
532, Of vulva and vagina,12.1
533, Of other urogenital sites,12.2
534, Of skin and nails,12.3
535, Of lung,12.4
536, Disseminated,12.5
537, Of other sites,12.8
538, Of unspecified site,12.9
539,Coccidioidomycosis,14
540,Histoplasmosis,15
541, Infection by Histoplasma capsulatum,15.0
542, Infection by Histoplasma duboisii,15.1
543, Unspecified,15.9
544,Blastomycotic infection,16
545, Blastomycosis,16.0
546, Paracoccidioidomycosis,16.1
547, Lobomycosis,16.2
548,Other mycoses,17
549, Rhinosporidiosis,17.0
550, Sporotrichosis,17.1
551, Chromoblastomycosis,17.2
552, Aspergillosis,17.3
553, Mycotic mycetomas,17.4
554, Cryptococcosis,17.5
555, Allescheriosis -Petriellidosis,17.6
556, Zygomycosis -Phycomycosis or Mucormycosis,17.7
557, Infection by dematiacious fungi -Phaeohyphomycosis,17.8
558, Other and unspecified,17.9
559,Opportunistic mycoses,18
560,Schistosomiasis -bilharziasis,20
561, Schistosoma hematobium,20.0
562, Schistosoma mansoni,20.1
563, Schistosoma japonicum,20.2
564, Cutaneous,20.3
565, Other,20.8
566, Unspecified,20.9
567,Other trematode infections,21
568, Opisthorchiasis,21.0
569, Clonorchiasis,21.1
570, Paragonimiasis,21.2
571, Fascioliasis,21.3
572, Fasciolopsiasis,21.4
573, Metagonimiasis,21.5
574, Heterophyiasis,21.6
575, Other,21.8
576, Unspecified,21.9
577,Echinococcosis,22
578, Echinococcus granulosus infection of liver,22.0
579, Echinococcus granulosus infection of lung,22.1
580, Echinococcus granulosus infection of thyroid,22.2
581," Echinococcus granulosus infection, other",22.3
582," Echinococcus granulosus infection, unspecified",22.4
583, Echinococcus multilocularis infection of liver,22.5
584," Echinococcus multilocularis infection, other",22.6
585," Echinococcus multilocularis infection, unspecified",22.7
586," Echinococcosis, unspecified, of liver",22.8
587," Echinococcosis, other and unspecified",22.9
588,Other cestode infection,23
589,"Tenia solium infection, intestinal form",23.0
590, Cysticercosis,23.1
591, Tenia saginata infection,23.2
592," Teniasis, unspecified",23.3
593," Diphyllobothriasis, intestinal",23.4
594, Sparganosis -larval diphyllobothriasis,23.5
595, Hymenolepiasis,23.6
596, Other,23.8
597, Unspecified,23.9
598,Trichinosis,24
599,Filarial infection and dracontiasis,25
600, Bancroftian filariasis,25.0
601, Malayan filariasis,25.1
602, Loiasis,25.2
603, Onchocerciasis,25.3
604, Dipetalonemiasis,25.4 
605, Mansonella ozzardi infection,25.5
606, Other specified filariasis,25.6
607, Dracontiasis,25.7
608, Unspecified filariasis,25.9
609,Ancylostomiasis and necatoriasis,26
610, Ancylostoma duodenale,26.0
611, Necator americanus,26.1
612, Ancylostoma braziliense,26.2
613, Ancylostoma ceylanicum,26.3
614, Other specified Ancylostoma,26.8
615, Unspecified,26.9
616,Other intestinal helminthiases,27
617, Ascariasis,27.0
618, Anisakiasis,27.1
619, Strongyloidiasis,27.2
620, Trichuriasis,27.3
621, Enterobiasis,27.4
622, Capillariasis,27.5
623, Trichostrongyliasis,27.6
624, Other intestinal helminthiasis,27.7
625, Mixed intestinal helminthiasis,27.8
626," Intestinal helminthiasis, unspecified",27.9
627,Other and unspecified helminthiases,28
628, Toxocariasis,28.0
629, Gnathostomiasis,28.1
630, Other,28.8
631, Unspecified,28.9
632,"Intestinal parasitism, unspecified",29
633,Toxoplasmosis,30
634,Trichomoniasis,31
635, Urogenital trichomoniasis,31.0
636, Other sites,31.8
637, Unspecified,31.9
638,Pediculosis and phthirus infestation,32
639, Pediculus capitis -head louse,32.0
640, Pediculus corporis -body louse,32.1
641, Phthirus pubis -pubic louse,32.2
642, Mixed,32.3
643," Pediculosis, unspecified",32.9
644,Acariasis,33
645, Scabies,33.0
646, Other,33.8
647, Unspecified,33.9
648,Other infestation,34
649, Myiasis,34.0
650, Other arthropod infestation,34.1
651, Hirudiniasis,34.2
652, Other,34.8
653, Unspecified,34.9
654,Sarcoidosis,35
655,Other and unspecified infectious and parasitic diseases,36
656, Ainhum,36.0
657, Behcet's syndrome,36.1
658, Specific infections by free-living amoebas,36.2
659, Pneumocystosis,36.3
660, Psorospermiasis,36.4
661, Sarcosporidiosis,36.5
662, Other,36.8
663, Unspecified,36.9
664,Late effects of tuberculosis,37
665, Late effects of respiratory or unspecified tuberculosis,37.0
666, Late effects of central nervous system tuberculosis,37.1
667, Late effects of genitourinary tuberculosis,37.2
668, Late effects of tuberculosis of bones and joints,37.3
669, Late effects of tuberculosis of other specified organs,37.4
670,Late effects of acute poliomyelitis,38
671,Late effects of other infectious and parasitic diseases,39
672, Late effects of viral encephalitis,39.0
673, Late effects of trachoma,39.1
674, Late effects of other and unspecified infectious and parasitic diseases,39.8
675,Malignant neoplasm of lip,40
676," Upper lip, vermilion border",40.0
677," Lower lip, vermilion border",40.1
678," Upper lip, inner aspect",40.3
679," Lower lip, inner aspect",40.4
680," Lip, unspecified, inner aspect",40.5
681, Commissure of lip,40.6
682, Other,40.8
683," Lip, unspecified, vermilion border",40.9
684,Malignant neoplasm of tongue,41
685, Base of tongue,41.0
686, Dorsal surface of tongue,41.1
687, Tip and lateral border of tongue,41.2
688, Ventral surface of tongue,41.3
689," Anterior two-thirds of tongue, part unspecified",41.4
690, Junctional zone,41.5
691, Lingual tonsil,41.6
692, Other,41.8
693," Tongue, unspecified",41.9
694,Malignant neoplasms of major salivary glands,42
695, Parotid gland,42.0
696, Submandibular gland,42.1
697, Sublingual gland,42.2
698, Other,42.8
699, Site unspecified,42.9
700,Malignant neoplasm of gum,43
701, Upper gum,43.0
702, Lower gum,43.1
703, Other,43.8
704," Gum, unspecified",43.9
705,Malignant neoplasm of floor of mouth,44
706, Anterior portion,44.0
707, Lateral portion,44.1
708, Other,44.8
709, Part unspecified,44.9
710,Malignant neoplasms of other and unspecified parts of mouth,45
711, Cheek mucosa,45.0
712, Vestibule of mouth,45.1
713, Hard palate,45.2
714, Soft palate,45.3
715, Uvula,45.4
716," Palate, unspecified",45.5
717, Retromolar area,45.6
718, Other,45.8
719," Mouth, unspecified",45.9
720,Malignant neoplasm of oropharynx,46
721, Tonsil,46.0
722, Tonsillar fossa,46.1
723, Tonsillar pillars -anterior -posterior,46.2
724, Vallecula,46.3
725, Anterior aspect of epiglottis,46.4
726, Junctional region,46.5
727, Lateral wall of oropharynx,46.6
728, Posterior wall of oropharynx,46.7
729, Other,46.8
730," Oropharynx, unspecified",46.9
731,Malignant neoplasm of nasopharynx,47
732, Superior wall,47.0
733, Posterior wall,47.1
734, Lateral wall,47.2
735, Anterior wall,47.3
736, Other,47.8
737," Nasopharynx, unspecified",47.9
738,Malignant neoplasm of hypopharynx,48
739, Postcricoid region,48.0
740, Pyriform sinus,48.1
741," Aryepiglottic fold, hypopharyngeal aspect",48.2
742, Posterior hypopharyngeal wall,48.3
743, Other,48.8
744," Hypopharynx, unspecified",48.9
745,"Malignant neoplasms of other and ill-defined sites within the lip, oral cavity, and pharynx",49
746," Pharynx, unspecified",49.0
747, Waldeyer's ring,49.1
748, Other,49.8
749, Ill-defined,49.9
750,Malignant neoplasm of esophagus,50
751, Cervical part,50.0
752, Thoracic part,50.1
753, Abdominal part,50.2
754, Upper third,50.3
755, Middle third,50.4
756, Lower third,50.5
757, Other,50.8
758," Esophagus, unspecified",50.9
759,Malignant neoplasm of stomach,51
760, Cardia,51.0
761, Pylorus,51.1
762, Pyloric antrum,51.2
763, Fundus of stomach,51.3
764, Body of stomach,51.4
765," Lesser curvature, unspecified",51.5
766," Greater curvature, unspecified",51.6
767, Other,51.8
768," Stomach, unspecified",51.9
769,"Malignant neoplasm of small intestine, including duodenum",52
770, Duodenum,52.0
771, Jejunum,52.1
772, Ileum,52.2
773, Meckel's diverticulum,52.3
774, Other,52.8
775," Small intestine, unspecified",52.9
776,Malignant neoplasm of colon,53
777, Hepatic flexure,53.0
778, Transverse colon,53.1
779, Descending colon,53.2
780, Sigmoid colon,53.3
781, Cecum,53.4
782, Appendix,53.5
783, Ascending colon,53.6
784, Splenic flexure,53.7
785, Other,53.8
786," Colon, unspecified",53.9
787,"Malignant neoplasms of rectum, rectosigmoid junction, and anus",54
788, Rectosigmoid junction,54.0
789, Rectum,54.1
790, Anal canal,54.2
791," Anus, unspecified",54.3
792, Other,54.8
793,Malignant neoplasms of liver and intrahepatic bile ducts,55
794," Liver, primary",55.0
795, Intrahepatic bile ducts,55.1
796," Liver, not specified as primary or secondary",55.2
797,Malignant neoplasms of gall bladder and extrahepatic bile ducts,56
798, Gallbladder,56.0
799, Extrahepatic bile ducts,56.1
800, Ampulla of Vater,56.2
801, Other,56.8
802," Biliary tract, part unspecified",56.9
803,Malignant neoplasm of pancreas,57
804, Head of pancreas,57.0
805, Body of pancreas,57.1
806, Tail of pancreas,57.2
807, Pancreatic duct,57.3
808, Islets of Langerhans,57.4
809, Other,57.8
810, Part unspecified,57.9
811,Malignant neoplasms of retroperitoneum and peritoneum,58
812, Retroperitoneum,58.0
813, Specified parts of peritoneum,58.8
814," Peritoneum, unspecified",58.9
815," Intestinal tract, part unspecified",59.0
816," Spleen, not elsewhere classified",59.1
817, Other,59.8
818, Ill-defined,59.9
819,"Malignant neoplasms of nasal cavities, middle ear, and accessory sinuses",60
820, Nasal cavities,60.0
821," Auditory tube, middle ear, and mastoid air cells",60.1
822, Maxillary sinus,60.2
823, Ethmoidal sinus,60.3
824, Frontal sinus,60.4
825, Sphenoidal sinus,60.5
826, Other,60.8
827," Accessory sinus, unspecified",60.9
828,Malignant neoplasm of larynx,61
829, Glottis,61.0
830, Supraglottis,61.1
831, Subglottis,61.2
832, Laryngeal cartilages,61.3
833, Other,61.8
834," Larynx, unspecified",61.9
835,"Malignant neoplasms of trachea, bronchus, and lung",62
836, Trachea,62.0
837, Main bronchus,62.2
838," Upper lobe, bronchus or lung",62.3
839," Middle lobe, bronchus or lung",62.4
840," Lower lobe, bronchus or lung",62.5
841, Other,62.8
842," Bronchus and lung, unspecified",62.9
843,Malignant neoplasm of pleura,63
844, Parietal,63.0
845, Visceral,63.1
846, Other,63.8
847," Pleura, unspecified",63.9
848,"Malignant neoplasms of thymus, heart, and mediastinum",64
849, Thymus,64.0
850, Heart,64.1
851, Anterior mediastinum,64.2
852, Posterior mediastinum,64.3
853, Other,64.8
854," Mediastinum, part unspecified",64.9
855,organs,65
856," Upper respiratory tract, part unspecified",65.0
857, Other,65.8
858, Ill-defined sites within the respiratory system,65.9
859,Malignant neoplasms of bone and articular cartilage,70
860, Bones of skull and face,70.0
861, Lower jaw bone,70.1
862," Vertebral column, excluding sacrum and coccyx",70.2
863," Ribs, sternum, and clavicle",70.3
864, Long bones of upper limb and scapula,70.4
865," Upper limb, short bones",70.5
866," Pelvic bones, sacrum and coccyx",70.6
867," Lower limb, long bones",70.7
868," Lower limb, short bones",70.8
869, Site unspecified,70.9
870,Malignant neoplasms of connective and other soft tissue,71
871," Head, face, and neck",71.0
872," Upper limb, including shoulder",71.2
873," Lower limb, including hip",71.3
874, Thorax,71.4
875, Abdomen,71.5
876, Pelvis,71.6
877," Trunk, unspecified",71.7
878, Other,71.8
879, Site unspecified,71.9
880,Malignant melanoma of skin,72
