,diagnosis_code,diagnosis_type
245,045.2, Acute nonparalytic poliomyelitis 
246,045.9," Acute poliomyelitis, unspecified "
247,046,Slow virus infection of central nervous system 
248,046.0, Kuru 
249,046.1, Jakob-Creutzfeldt disease 
250,046.2, Subacute sclerosing panencephalitis 
251,046.3, Progressive multifocal leucoencephalopathy 
252,046.8, Other 
253,046.9, Unspecified 
254,047,Meningitis due to enterovirus 
255,047.0, Coxsackie virus 
256,047.1, ECHO virus 
257,047.8, Other 
258,047.9, Unspecified 
259,048,Other enterovirus diseases of central nervous system 
260,049,Other non-arthropod-borne viral diseases of central nervous system 
261,049.0, Lymphocytic choriomeningitis 
262,049.1, Meningitis due to adenovirus 
263,049.8, Other 
264,049.9, Unspecified 
266,050,Smallpox 
267,050.0, Variola major 
268,050.1, Alastrim 
269,050.2, Modified smallpox 
270,050.9," Smallpox, unspecified "
271,051,Cowpox and paravaccinia 
272,051.0, Cowpox 
273,051.1, Pseudocowpox 
274,051.2, Contagious pustular dermatitis 
275,051.9," Paravaccinia, unspecified "
276,052,Chickenpox 
277,053,Herpes zoster 
278,053.0, With meningitis 
279,053.1, With other nervous system complications 
280,053.2, With ophthalmic complications 
281,053.7, With other complications 
282,053.8, With unspecified complication 
283,053.9, Herpes zoster without mention of complication 
284,054,Herpes simplex 
285,054.0, Eczema herpeticum 
286,054.1, Genital herpes 
287,054.2, Herpetic gingivostomatitis 
288,054.3, Herpetic meningoencephalitis 
289,054.4, With ophthalmic complications 
290,054.5, Herpetic septicemia 
291,054.6, Herpetic whitlow 
292,054.7, With other complications 
293,054.8, With unspecified complication 
294,054.9, Herpes simplex without mention of complication 
295,055,Measles 
296,055.0, Postmeasles encephalitis 
297,055.1, Postmeasles pneumonia 
298,055.2, Postmeasles otitis 
299,055.7, With other complications 
300,055.8, With unspecified complication 
301,055.9, Measles without mention of complication 
302,056,Rubella 
303,056.0, With neurological complications 
304,056.7, With other complications 
305,056.8, With unspecified complication 
306,056.9, Rubella without mention of complication 
307,057,Other viral exanthemata 
308,057.0, Erythema infectiosum -fifth disease 
309,057.8, Other 
310,057.9, Unspecified 
312,060,Yellow fever 
313,060.0, Sylvatic 
314,060.1, Urban 
315,060.9, Unspecified 
316,061,Dengue 
317,062,Mosquito-borne viral encephalitis 
318,062.0, Japanese encephalitis 
319,062.1, Western equine encephalitis 
320,062.2, Eastern equine encephalitis 
321,062.3, St. Louis encephalitis 
322,062.4, Australian encephalitis 
323,062.5, California virus encephalitis 
324,062.8, Other 
325,062.9, Unspecified 
326,063,Tick-borne viral encephalitis 
327,063.0, Russian spring-summer -taiga encephalitis 
328,063.1, Louping ill 
329,063.2, Central European encephalitis 
330,063.8, Other 
331,063.9, Unspecified 
332,064,Viral encephalitis transmitted by other and unspecified arthropods 
333,065,Arthropod-borne hemorrhagic fever 
334,065.0, Crimean hemorrhagic fever -CHF Congo virus 
335,065.1, Omsk hemorrhagic fever 
336,065.2, Kyasanur Forest disease 
337,065.3, Other tick-borne hemorrhagic fever 
338,065.4, Mosquito-borne hemorrhagic fever 
339,065.8, Other 
340,065.9, Unspecified 
341,066,Other arthropod-borne viral diseases 
342,066.0, Phlebotomus fever 
343,066.1, Tick-borne fever 
344,066.2, Venezuelan equine fever 
345,066.3, Other mosquito-borne fever 
346,066.8, Other 
347,066.9, Unspecified 
349,070,Viral hepatitis 
350,070.0, Viral hepatitis A with hepatic coma 
351,070.1, Viral hepatitis A without mention of hepatic coma 
352,070.2, Viral hepatitis B with hepatic coma 
353,070.3, Viral hepatitis B without mention of hepatic coma 
354,070.4, Other specified viral hepatitis with hepatic coma 
355,070.5, Other specified viral hepatitis without mention of hepatic coma 
356,070.6, Unspecified viral hepatitis with hepatic coma 
357,070.9, Unspecified viral hepatitis without mention of hepatic coma 
358,071,Rabies 
359,072,Mumps 
360,072.0, Mumps orchitis 
361,072.1, Mumps meningitis 
362,072.2, Mumps encephalitis 
363,072.3, Mumps pancreatitis 
364,072.7, Mumps with other complications 
365,072.8, Mumps with unspecified complication 
366,072.9, Mumps without mention of complication 
367,073,Ornithosis 
368,074,Specific diseases due to Coxsackie virus 
369,074.0, Herpangina 
370,074.1, Epidemic pleurodynia 
371,074.2, Coxsackie carditis 
372,074.3," Hand, foot, and mouth disease "
373,074.8, Other 
374,075,Infectious mononucleosis 
375,076,Trachoma 
376,076.0, Initial stage 
377,076.1, Active stage 
378,076.9, Unspecified 
379,077,Other diseases of conjunctiva due to viruses and Chlamydiae 
380,077.0, Inclusion conjunctivitis 
381,077.1, Epidemic keratoconjunctivitis 
382,077.2, Pharyngoconjunctival fever 
383,077.3, Other adenoviral conjunctivitis 
384,077.4, Epidemic hemorrhagic conjunctivitis 
385,077.8, Other viral conjunctivitis 
386,077.9, Unspecified 
387,078,Other diseases due to viruses and Chlamydiae 
388,078.0, Molluscum contagiosum 
389,078.1, Viral warts 
390,078.2, Sweating fever 
391,078.3, Cat-scratch disease 
392,078.4, Foot and mouth disease 
393,078.5, Cytomegalic inclusion disease 
394,078.6, Hemorrhagic nephrosonephritis 
395,078.7, Arenaviral hemorrhagic fever 
396,078.8, Other 
397,079,Viral infection of unspecified site 
398,079.0, Adenovirus 
399,079.1, ECHO virus 
400,079.2, Coxsackie virus 
401,079.3, Rhinovirus 
402,079.8, Other 
403,079.9, Unspecified 
405,080,Louse-borne -Epidemic typhus 
406,081,Other typhus 
407,081.0, Murine -Endemic typhus 
408,081.1, Brill's disease 
409,081.2, Scrub typhus 
410,081.9, Unspecified 
411,082,Tick-borne rickettsioses 
412,082.0, Spotted fevers 
413,082.1, Boutonneuse fever 
414,082.2, North Asian tick fever 
415,082.3, Queensland tick typhus 
416,082.8, Other 
417,082.9, Unspecified 
418,083,Other rickettsioses 
419,083.0, Q-fever 
420,083.1, Trench fever 
421,083.2, Rickettsialpox 
422,083.8, Other 
423,083.9, Unspecified 
424,084,Malaria 
425,084.0, Falciparum malaria -malignant tertian 
426,084.1, Vivax malaria -benign tertian 
427,084.2, Quartan malaria 
428,084.3, Ovale malaria 
429,084.4, Other malaria 
430,084.5, Mixed 
431,084.6, Unspecified 
432,084.7, Induced malaria 
433,084.8, Blackwater fever 
434,084.9, Other pernicious complications of malaria 
435,085,Leishmaniasis 
436,085.0, Visceral -kala-azar 
437,085.1," Cutaneous, urban "
438,085.2," Cutaneous, Asian desert "
439,085.3," Cutaneous, Ethiopian "
440,085.4," Cutaneous, American "
441,085.5," Mucocutaneous, American "
442,085.9, Unspecified 
443,086,Trypanosomiasis 
444,086.0, Chagas' disease with heart involvement 
445,086.1, Chagas' disease with other organ involvement 
446,086.2, Chagas' disease without mention of organ involvement 
447,086.3, Gambian trypanosomiasis 
448,086.4, Rhodesian trypanosomiasis 
449,086.5," African trypanosomiasis, unspecified "
450,086.9, Unspecified 
451,087,Relapsing fever 
452,087.0, Louse-borne 
453,087.1, Tick-borne 
454,087.9, Unspecified 
455,088,Other arthropod-borne diseases 
456,088.0, Bartonellosis 
457,088.8, Other 
458,088.9, Unspecified 
460,090,Congenital syphilis 
461,090.0,"Early congenital syphilis, symptomatic "
462,090.2," Early congenital syphilis, unspecified "
463,090.3, Syphilitic interstitial keratitis 
464,090.4, Juvenile neurosyphilis 
465,090.5," Other late congenital syphilis, symptomatic "
466,090.7," Late congenital syphilis, unspecified "
467,090.9," Congenital syphilis, unspecified "
468,091,"Early syphilis, symptomatic "
469,091.0," Genital syphilis, primary "
470,091.1, Primary anal syphilis 
471,091.2, Other primary syphilis 
472,091.3, Secondary syphilis of skin or mucous membranes 
473,091.4, Adenopathy due to secondary syphilis 
474,091.5, Uveitis due to secondary syphilis 
475,091.6, Secondary syphilis of viscera and bone 
476,091.7," Secondary syphilis, relapse "
477,091.8, Other forms of secondary syphilis 
478,091.9, Unspecified secondary syphilis 
479,093,Cardiovascular syphilis 
480,093.0," Aneurysm of aorta, specified as syphilitic "
481,093.1, Syphilitic aortitis 
482,093.2, Syphilitic endocarditis 
483,093.8, Other 
484,093.9, Unspecified 
485,094,Neurosyphilis 
486,094.0, Tabes dorsalis 
487,094.1, General paresis 
488,094.2, Syphilitic meningitis 
489,094.8, Other 
490,094.9, Unspecified 
491,095,Other forms of late syphilis with symptoms 
492,097,Other and unspecified syphilis 
493,097.0," Late syphilis, unspecified "
494,097.9," Syphilis, unspecified "
495,098,Gonococcal infections 
496,098.0," Acute, of lower genitourinary tract "
497,098.1," Acute, of upper genitourinary tract "
498,098.2," Chronic, of lower genitourinary tract "
499,098.3," Chronic, of upper genitourinary tract "
500,098.4, Of eye 
501,098.5, Of joint 
502,098.6, Of pharynx 
503,098.7, Of anus and rectum 
504,098.8, Of other sites 
505,099,Other venereal diseases 
506,099.0, Chancroid 
507,099.1, Lymphogranuloma venereum 
508,099.2, Granuloma inguinale 
509,099.3, Reiter's disease 
510,099.4, Other nongonococcal urethritis 
511,099.8, Other 
512,099.9, Unspecified 
514,100,Leptospirosis 
515,100.0, Leptospirosis icterohemorrhagica 
516,100.8, Other 
517,100.9, Unspecified 
518,101,Vincent's angina 
519,102,Yaws 
520,102.0, Initial lesions 
521,102.1, Multiple papillomata and wet crab yaws 
522,102.2, Other early skin lesions 
523,102.3, Hyperkeratosis 
524,102.4, Gummata and ulcers 
525,102.5, Gangosa 
526,102.6, Bone and joint lesions 
527,102.7, Other manifestations 
528,102.9," Yaws, unspecified "
529,103,Pinta 
530,103.0, Primary lesions 
531,103.1, Intermediate lesions 
532,103.2, Late lesions 
533,103.3, Mixed lesions 
534,103.9, Unspecified 
535,104,Other spirochetal infection 
536,104.0, Nonvenereal endemic syphilis 
537,104.8, Other 
538,104.9, Unspecified 
540,110,Dermatophytosis 
541,110.0, Of scalp and beard 
542,110.1, Of nail 
543,110.2, Of hand 
544,110.3, Of groin and perianal area 
545,110.4, Of foot 
546,110.5, Of the body 
547,110.6, Deep-seated dermatophytosis 
548,110.8, Of other sites 
549,110.9, Of unspecified site 
550,111,"Dermatomycosis, other and unspecified "
551,111.0, Pityriasis versicolor 
552,111.1, Tinea nigra 
553,111.2, Tinea blanca 
554,111.3, Black piedra 
555,111.8, Other 
556,111.9, Unspecified 
557,112,Candidiasis 
558,112.0, Of mouth 
559,112.1, Of vulva and vagina 
560,112.2, Of other urogenital sites 
561,112.3, Of skin and nails 
562,112.4, Of lung 
563,112.5, Disseminated 
564,112.8, Of other sites 
565,112.9, Of unspecified site 
566,114,Coccidioidomycosis 
567,115,Histoplasmosis 
568,115.0, Infection by Histoplasma capsulatum 
569,115.1, Infection by Histoplasma duboisii 
570,115.9, Unspecified 
571,116,Blastomycotic infection 
572,116.0, Blastomycosis 
573,116.1, Paracoccidioidomycosis 
574,116.2, Lobomycosis 
575,117,Other mycoses 
576,117.0, Rhinosporidiosis 
577,117.1, Sporotrichosis 
578,117.2, Chromoblastomycosis 
579,117.3, Aspergillosis 
580,117.4, Mycotic mycetomas 
581,117.5, Cryptococcosis 
582,117.6, Allescheriosis -Petriellidosis 
583,117.7, Zygomycosis -Phycomycosis or Mucormycosis 
584,117.8, Infection by dematiacious fungi -Phaeohyphomycosis 
585,117.9, Other and unspecified 
586,118,Opportunistic mycoses 
588,120,Schistosomiasis -bilharziasis 
589,120.0, Schistosoma hematobium 
590,120.1, Schistosoma mansoni 
591,120.2, Schistosoma japonicum 
592,120.3, Cutaneous 
593,120.8, Other 
594,120.9, Unspecified 
595,121,Other trematode infections 
596,121.0, Opisthorchiasis 
597,121.1, Clonorchiasis 
598,121.2, Paragonimiasis 
599,121.3, Fascioliasis 
600,121.4, Fasciolopsiasis 
601,121.5, Metagonimiasis 
602,121.6, Heterophyiasis 
603,121.8, Other 
604,121.9, Unspecified 
605,122,Echinococcosis 
606,122.0, Echinococcus granulosus infection of liver 
607,122.1, Echinococcus granulosus infection of lung 
608,122.2, Echinococcus granulosus infection of thyroid 
609,122.3," Echinococcus granulosus infection, other "
610,122.4," Echinococcus granulosus infection, unspecified "
611,122.5, Echinococcus multilocularis infection of liver 
612,122.6," Echinococcus multilocularis infection, other "
613,122.7," Echinococcus multilocularis infection, unspecified "
614,122.8," Echinococcosis, unspecified, of liver "
615,122.9," Echinococcosis, other and unspecified "
616,123,Other cestode infection 
617,123.0,"Tenia solium infection, intestinal form "
618,123.1, Cysticercosis 
619,123.2, Tenia saginata infection 
620,123.3," Teniasis, unspecified "
621,123.4," Diphyllobothriasis, intestinal "
622,123.5, Sparganosis -larval diphyllobothriasis 
623,123.6, Hymenolepiasis 
624,123.8, Other 
625,123.9, Unspecified 
626,124,Trichinosis 
627,125,Filarial infection and dracontiasis 
628,125.0, Bancroftian filariasis 
629,125.1, Malayan filariasis 
630,125.2, Loiasis 
631,125.3, Onchocerciasis 
632,125.4 , Dipetalonemiasis 
633,125.5, Mansonella ozzardi infection 
634,125.6, Other specified filariasis 
635,125.7, Dracontiasis 
636,125.9, Unspecified filariasis 
637,126,Ancylostomiasis and necatoriasis 
638,126.0, Ancylostoma duodenale 
639,126.1, Necator americanus 
640,126.2, Ancylostoma braziliense 
641,126.3, Ancylostoma ceylanicum 
642,126.8, Other specified Ancylostoma 
643,126.9, Unspecified 
644,127,Other intestinal helminthiases 
645,127.0, Ascariasis 
646,127.1, Anisakiasis 
647,127.2, Strongyloidiasis 
648,127.3, Trichuriasis 
649,127.4, Enterobiasis 
650,127.5, Capillariasis 
651,127.6, Trichostrongyliasis 
652,127.7, Other intestinal helminthiasis 
653,127.8, Mixed intestinal helminthiasis 
654,127.9," Intestinal helminthiasis, unspecified "
655,128,Other and unspecified helminthiases 
656,128.0, Toxocariasis 
657,128.1, Gnathostomiasis 
658,128.8, Other 
659,128.9, Unspecified 
660,129,"Intestinal parasitism, unspecified "
662,130,Toxoplasmosis 
663,131,Trichomoniasis 
664,131.0, Urogenital trichomoniasis 
665,131.8, Other sites 
666,131.9, Unspecified 
667,132,Pediculosis and phthirus infestation 
668,132.0, Pediculus capitis -head louse 
669,132.1, Pediculus corporis -body louse 
670,132.2, Phthirus pubis -pubic louse 
671,132.3, Mixed 
672,132.9," Pediculosis, unspecified "
673,133,Acariasis 
674,133.0, Scabies 
675,133.8, Other 
676,133.9, Unspecified 
677,134,Other infestation 
678,134.0, Myiasis 
679,134.1, Other arthropod infestation 
680,134.2, Hirudiniasis 
681,134.8, Other 
682,134.9, Unspecified 
683,135,Sarcoidosis 
684,136,Other and unspecified infectious and parasitic diseases 
685,136.0, Ainhum 
686,136.1, Behcet's syndrome 
687,136.2, Specific infections by free-living amoebas 
688,136.3, Pneumocystosis 
689,136.4, Psorospermiasis 
690,136.5, Sarcosporidiosis 
691,136.8, Other 
692,136.9, Unspecified 
694,137,Late effects of tuberculosis 
695,137.0, Late effects of respiratory or unspecified tuberculosis 
696,137.1, Late effects of central nervous system tuberculosis 
697,137.2, Late effects of genitourinary tuberculosis 
698,137.3, Late effects of tuberculosis of bones and joints 
699,137.4, Late effects of tuberculosis of other specified organs 
700,138,Late effects of acute poliomyelitis 
701,139,Late effects of other infectious and parasitic diseases 
702,139.0, Late effects of viral encephalitis 
703,139.1, Late effects of trachoma 
704,139.8, Late effects of other and unspecified infectious and parasitic diseases 
706,140,Malignant neoplasm of lip 
707,140.0," Upper lip, vermilion border "
708,140.1," Lower lip, vermilion border "
709,140.3," Upper lip, inner aspect "
710,140.4," Lower lip, inner aspect "
711,140.5," Lip, unspecified, inner aspect "
712,140.6, Commissure of lip 
713,140.8, Other 
714,140.9," Lip, unspecified, vermilion border "
715,141,Malignant neoplasm of tongue 
716,141.0, Base of tongue 
717,141.1, Dorsal surface of tongue 
718,141.2, Tip and lateral border of tongue 
719,141.3, Ventral surface of tongue 
720,141.4," Anterior two-thirds of tongue, part unspecified "
721,141.5, Junctional zone 
722,141.6, Lingual tonsil 
723,141.8, Other 
724,141.9," Tongue, unspecified "
725,142,Malignant neoplasms of major salivary glands 
726,142.0, Parotid gland 
727,142.1, Submandibular gland 
728,142.2, Sublingual gland 
729,142.8, Other 
730,142.9, Site unspecified 
731,143,Malignant neoplasm of gum 
732,143.0, Upper gum 
733,143.1, Lower gum 
734,143.8, Other 
735,143.9," Gum, unspecified "
736,144,Malignant neoplasm of floor of mouth 
737,144.0, Anterior portion 
738,144.1, Lateral portion 
739,144.8, Other 
740,144.9, Part unspecified 
741,145,Malignant neoplasms of other and unspecified parts of mouth 
742,145.0, Cheek mucosa 
743,145.1, Vestibule of mouth 
744,145.2, Hard palate 
745,145.3, Soft palate 
746,145.4, Uvula 
747,145.5," Palate, unspecified "
748,145.6, Retromolar area 
749,145.8, Other 
750,145.9," Mouth, unspecified "
751,146,Malignant neoplasm of oropharynx 
752,146.0, Tonsil 
753,146.1, Tonsillar fossa 
754,146.2, Tonsillar pillars -anterior -posterior 
755,146.3, Vallecula 
756,146.4, Anterior aspect of epiglottis 
757,146.5, Junctional region 
758,146.6, Lateral wall of oropharynx 
759,146.7, Posterior wall of oropharynx 
760,146.8, Other 
761,146.9," Oropharynx, unspecified "
762,147,Malignant neoplasm of nasopharynx 
763,147.0, Superior wall 
764,147.1, Posterior wall 
765,147.2, Lateral wall 
766,147.3, Anterior wall 
767,147.8, Other 
768,147.9," Nasopharynx, unspecified "
769,148,Malignant neoplasm of hypopharynx 
770,148.0, Postcricoid region 
771,148.1, Pyriform sinus 
772,148.2," Aryepiglottic fold, hypopharyngeal aspect "
773,148.3, Posterior hypopharyngeal wall 
774,148.8, Other 
775,148.9," Hypopharynx, unspecified "
776,149,"Malignant neoplasms of other and ill-defined sites within the lip, oral cavity, and pharynx "
777,149.0," Pharynx, unspecified "
778,149.1, Waldeyer's ring 
779,149.8, Other 
780,149.9, Ill-defined 
782,150,Malignant neoplasm of esophagus 
783,150.0, Cervical part 
784,150.1, Thoracic part 
785,150.2, Abdominal part 
786,150.3, Upper third 
787,150.4, Middle third 
788,150.5, Lower third 
789,150.8, Other 
790,150.9," Esophagus, unspecified "
791,151,Malignant neoplasm of stomach 
792,151.0, Cardia 
793,151.1, Pylorus 
794,151.2, Pyloric antrum 
795,151.3, Fundus of stomach 
796,151.4, Body of stomach 
797,151.5," Lesser curvature, unspecified "
798,151.6," Greater curvature, unspecified "
799,151.8, Other 
800,151.9," Stomach, unspecified "
801,152,"Malignant neoplasm of small intestine, including duodenum "
802,152.0, Duodenum 
803,152.1, Jejunum 
804,152.2, Ileum 
805,152.3, Meckel's diverticulum 
806,152.8, Other 
807,152.9," Small intestine, unspecified "
808,153,Malignant neoplasm of colon 
809,153.0, Hepatic flexure 
810,153.1, Transverse colon 
811,153.2, Descending colon 
812,153.3, Sigmoid colon 
813,153.4, Cecum 
814,153.5, Appendix 
815,153.6, Ascending colon 
816,153.7, Splenic flexure 
817,153.8, Other 
818,153.9," Colon, unspecified "
819,154,"Malignant neoplasms of rectum, rectosigmoid junction, and anus "
820,154.0, Rectosigmoid junction 
821,154.1, Rectum 
822,154.2, Anal canal 
823,154.3," Anus, unspecified "
824,154.8, Other 
825,155,Malignant neoplasms of liver and intrahepatic bile ducts 
826,155.0," Liver, primary "
827,155.1, Intrahepatic bile ducts 
828,155.2," Liver, not specified as primary or secondary "
829,156,Malignant neoplasms of gall bladder and extrahepatic bile ducts 
830,156.0, Gallbladder 
831,156.1, Extrahepatic bile ducts 
832,156.2, Ampulla of Vater 
833,156.8, Other 
834,156.9," Biliary tract, part unspecified "
835,157,Malignant neoplasm of pancreas 
836,157.0, Head of pancreas 
837,157.1, Body of pancreas 
838,157.2, Tail of pancreas 
839,157.3, Pancreatic duct 
840,157.4, Islets of Langerhans 
841,157.8, Other 
